对应资源编号(敌人、物件),位置,角度,缩放,技能(本层该敌人所使用的技能，1个或以上，该属性对障碍无效）,移动模式
string,string,string,string,string,number
ID,position,angle,scale,skill,movePattern
6001,"-7,1.6,-4","0,90,0",,,
6001,"-7,1.6,-0.5","0,90,0",,,
6001,"-7,1.6,3","0,90,0",,,
6001,"6,1.6,-3.5",,,,
6001,"2.3,1.6,-3.5",,,,
6001,"-1.4,1.6,-3.5",,,,
6001,"6,1.6,2.5",,,,
6001,"2.3,1.6,2.5",,,,
6001,"-1.4,1.6,2.5",,,,
6002,"10,1.6,-10",,,,
6002,"11,1.6,-20",,,,
2003,"2,1.62,-7",,,106,
2001,"2,1.62,-0.5",,,,
2003,"2,1.62,5",,,106,
2002,"10,1.62,-1",,,108,
2001,"11,1.62,-16",,,102,
